,Day,Citric_0,H_Citric_1,H_Citric_2,H_Citric_3,H_Sc_goethite,Sc_aqueous,H_H2O
0,0.0,22612.0142,0.0,0.0,0.0,31.0175,0.0310175,0.0
1,1.0,22812.1315,0.0,0.0,0.0,0.0,0.505,0.0
2,2.0,23178.7002,0.0,0.0,0.0,0.0,0.35514999999999997,0.0
3,3.0,23051.194,0.0,0.0,0.0,0.0,0.19065000000000001,0.0
4,4.0,22930.4781,0.0,0.0,0.0,0.0,0.11805,0.0
5,5.0,24381.9561,0.0,0.0,0.0,0.0,0.09795812500000001,0.0
6,6.0,25833.4341,0.0,0.0,0.0,0.0,0.07786625,0.0
7,7.0,27284.9121,0.0,0.0,0.0,0.0,0.057774374999999996,0.0
8,8.0,28736.3901,0.0,0.0,0.0,0.0,0.0376825,0.0
9,9.0,30182.3474,0.0,0.0,0.0,0.0,0.0302975,0.0
10,10.0,31628.3047,0.0,0.0,0.0,0.0,0.022912500000000002,0.0
11,11.0,29074.230375,0.0,0.0,0.0,0.0,0.023039375,0.0
12,12.0,26520.156049999998,0.0,0.0,0.0,0.0,0.023166250000000003,0.0
13,13.0,23966.081725,0.0,0.0,0.0,0.0,0.023293125000000005,0.0
14,14.0,21412.0074,0.0,0.0,0.0,0.0,0.023420000000000003,0.0
15,15.0,17843.09855,0.0,0.0,0.0,0.0,0.0225575,0.0
16,16.0,14274.1897,0.0,0.0,0.0,0.0,0.021695,0.0
