,Day,Citric_0,Citric_1,Citric_2,Citric_3,Sc_goethite,Sc,Fe_oxide,Fe,H2O,H+
0,0.0,22612.0142,0.0,0.0,0.0,31.0175,0.0310175,10.9885,10.9885,0.0,0.01096478196143185
1,1.0,22812.1315,0.0,0.0,0.0,0.0,0.505,0.0,38.41425,0.0,0.007244359600749898
2,2.0,23178.7002,0.0,0.0,0.0,0.0,0.35514999999999997,0.0,65.84,0.0,0.007943282347242814
3,3.0,23051.194,0.0,0.0,0.0,0.0,0.19065000000000001,0.0,69.75,0.0,0.008709635899560805
4,4.0,22930.4781,0.0,0.0,0.0,0.0,0.11805,0.0,73.66,0.0,0.009204495717531713
5,5.0,24381.9561,0.0,0.0,0.0,0.0,0.09795812500000001,0.0,78.1565,0.0,0.00984061567549761
6,6.0,25833.4341,0.0,0.0,0.0,0.0,0.07786625,0.0,82.65299999999999,0.0,0.010476735633463505
7,7.0,27284.9121,0.0,0.0,0.0,0.0,0.057774374999999996,0.0,87.14949999999999,0.0,0.0111128555914294
8,8.0,28736.3901,0.0,0.0,0.0,0.0,0.0376825,0.0,91.646,0.0,0.011748975549395297
9,9.0,30182.3474,0.0,0.0,0.0,0.0,0.0302975,0.0,96.1425,0.0,0.01293717549781142
10,10.0,31628.3047,0.0,0.0,0.0,0.0,0.022912500000000002,0.0,100.639,0.0,0.01412537544622754
11,11.0,29074.230375,0.0,0.0,0.0,0.0,0.023039375,0.0,105.1355,0.0,0.013094031584670655
12,12.0,26520.156049999998,0.0,0.0,0.0,0.0,0.023166250000000003,0.0,109.632,0.0,0.01206268772311377
13,13.0,23966.081725,0.0,0.0,0.0,0.0,0.023293125000000005,0.0,114.1285,0.0,0.011031343861556886
14,14.0,21412.0074,0.0,0.0,0.0,0.0,0.023420000000000003,0.0,118.625,0.0,0.01
15,15.0,17843.09855,0.0,0.0,0.0,0.0,0.0225575,0.0,123.1215,0.0,0.009255690191011884
16,16.0,14274.1897,0.0,0.0,0.0,0.0,0.021695,0.0,127.618,0.0,0.008511380382023767
